date,item,predicted_price,market,currency,unit,model
2026-06-16,Beans,449.89,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-16,Brinjal,251.65,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-16,Cabbage,124.44,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-16,Carrot,286.16,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-16,Pumpkin,108.37,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-16,Tomato,189.23,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-17,Beans,447.59,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-17,Brinjal,251.77,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-17,Cabbage,125.16,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-17,Carrot,286.83,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-17,Pumpkin,107.83,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-17,Tomato,190.93,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-18,Beans,442.31,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-18,Brinjal,252.02,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-18,Cabbage,124.57,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-18,Carrot,287.42,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-18,Pumpkin,107.65,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-18,Tomato,191.43,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-19,Beans,442.63,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-19,Brinjal,255.35,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-19,Cabbage,123.33,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-19,Carrot,287.42,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-19,Pumpkin,106.98,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-19,Tomato,191.45,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-20,Beans,441.66,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-20,Brinjal,256.68,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-20,Cabbage,123.44,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-20,Carrot,287.17,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-20,Pumpkin,106.86,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-20,Tomato,191.45,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-21,Beans,441.66,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-21,Brinjal,257.95,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-21,Cabbage,123.27,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-21,Carrot,286.44,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-21,Pumpkin,106.71,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-21,Tomato,191.45,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-22,Beans,442.81,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-22,Brinjal,258.27,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-22,Cabbage,124.64,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-22,Carrot,285.18,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-22,Pumpkin,110.68,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
2026-06-22,Tomato,191.28,Retail_Pettah (RF Forecast),LKR,per kg,random_forest
