"date","item","Wholesale_Pettah","Wholesale_Dambulla","Retail_Pettah","Retail_Dambulla","Retail_Narahenpita"
"2023-01-02","Beans","630.0","575.0","700.0","605.0","720.0"
"2023-01-02","Brinjal","320.0","","370.0","","480.0"
"2023-01-02","Cabbage","110.0","","150.0","","240.0"
"2023-01-02","Carrot","250.0","","300.0","","360.0"
"2023-01-02","Pumpkin","160.0","","200.0","","200.0"
"2023-01-02","Tomato","150.0","","200.0","","320.0"
"2023-01-03","Beans","600.0","575.0","650.0","605.0","700.0"
"2023-01-03","Brinjal","320.0","","370.0","","460.0"
"2023-01-03","Cabbage","110.0","","150.0","","220.0"
"2023-01-03","Carrot","250.0","","300.0","","360.0"
"2023-01-03","Pumpkin","150.0","","200.0","","200.0"
"2023-01-03","Tomato","170.0","","220.0","","320.0"
"2023-01-04","Beans","600.0","475.0","650.0","505.0","480.0"
"2023-01-04","Brinjal","300.0","","350.0","","360.0"
"2023-01-04","Cabbage","110.0","","150.0","","240.0"
"2023-01-04","Carrot","220.0","","260.0","","400.0"
"2023-01-04","Pumpkin","130.0","","180.0","","200.0"
"2023-01-04","Tomato","170.0","","220.0","","240.0"
"2023-01-05","Beans","550.0","515.0","600.0","545.0","480.0"
"2023-01-05","Brinjal","300.0","","350.0","","400.0"
"2023-01-05","Cabbage","110.0","","150.0","","240.0"
"2023-01-05","Carrot","220.0","","260.0","","320.0"
"2023-01-05","Pumpkin","130.0","","180.0","","200.0"
"2023-01-05","Tomato","150.0","","200.0","","200.0"
"2023-01-09","Beans","500.0","295.0","550.0","325.0","560.0"
"2023-01-09","Brinjal","350.0","","400.0","","480.0"
"2023-01-09","Cabbage","110.0","","120.0","","240.0"
"2023-01-09","Carrot","180.0","","220.0","","320.0"
"2023-01-09","Pumpkin","130.0","","180.0","","200.0"
"2023-01-09","Tomato","120.0","","160.0","","200.0"
"2023-01-10","Beans","450.0","325.0","500.0","355.0","480.0"
"2023-01-10","Brinjal","350.0","","400.0","","400.0"
"2023-01-10","Cabbage","","","120.0","","200.0"
"2023-01-10","Carrot","180.0","","220.0","","280.0"
"2023-01-10","Pumpkin","130.0","","180.0","","200.0"
"2023-01-10","Tomato","120.0","","160.0","","200.0"
"2023-01-11","Beans","450.0","390.0","500.0","420.0","480.0"
"2023-01-11","Brinjal","400.0","","450.0","","400.0"
"2023-01-11","Cabbage","","","100.0","","200.0"
"2023-01-11","Carrot","180.0","","220.0","","300.0"
"2023-01-11","Pumpkin","120.0","","160.0","","200.0"
"2023-01-11","Tomato","120.0","","160.0","","200.0"
"2023-01-12","Beans","450.0","375.0","500.0","405.0","480.0"
"2023-01-12","Brinjal","400.0","","450.0","","400.0"
"2023-01-12","Cabbage","","","100.0","","200.0"
"2023-01-12","Carrot","200.0","","250.0","","280.0"
"2023-01-12","Pumpkin","120.0","","160.0","","200.0"
"2023-01-12","Tomato","140.0","","200.0","","200.0"
