date,item,Wholesale_Pettah,Wholesale_Dambulla,Retail_Pettah,Retail_Dambulla,Retail_Narahenpita,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,is_weekend,avg_wholesale_price,avg_retail_price,price_spread,is_crisis_period
2023-01-02,Beans,630.0,575.0,700.0,605.0,720.0,2023,1,January,2,0,Monday,1,1,0,602.5,675.0,72.5,0
2023-01-03,Beans,600.0,575.0,650.0,605.0,700.0,2023,1,January,3,1,Tuesday,1,1,0,587.5,651.6666666666666,64.16666666666663,0
2023-01-04,Beans,600.0,475.0,650.0,505.0,480.0,2023,1,January,4,2,Wednesday,1,1,0,537.5,545.0,7.5,0
2023-01-05,Beans,550.0,515.0,600.0,545.0,480.0,2023,1,January,5,3,Thursday,1,1,0,532.5,541.6666666666666,9.166666666666629,0
2023-01-09,Beans,500.0,295.0,550.0,325.0,560.0,2023,1,January,9,0,Monday,2,1,0,397.5,478.3333333333333,80.83333333333331,0
2023-01-10,Beans,450.0,325.0,500.0,355.0,480.0,2023,1,January,10,1,Tuesday,2,1,0,387.5,445.0,57.5,0
2023-01-11,Beans,450.0,390.0,500.0,420.0,480.0,2023,1,January,11,2,Wednesday,2,1,0,420.0,466.6666666666667,46.666666666666686,0
2023-01-12,Beans,450.0,375.0,500.0,405.0,480.0,2023,1,January,12,3,Thursday,2,1,0,412.5,461.6666666666667,49.166666666666686,0
2023-01-13,Beans,500.0,425.0,550.0,455.0,480.0,2023,1,January,13,4,Friday,2,1,0,462.5,495.0,32.5,0
2023-01-17,Beans,400.0,350.0,450.0,380.0,420.0,2023,1,January,17,1,Tuesday,3,1,0,375.0,416.6666666666667,41.666666666666686,0
2023-01-18,Beans,350.0,290.0,400.0,320.0,400.0,2023,1,January,18,2,Wednesday,3,1,0,320.0,373.3333333333333,53.333333333333314,0
2023-01-19,Beans,300.0,255.0,350.0,285.0,360.0,2023,1,January,19,3,Thursday,3,1,0,277.5,331.6666666666667,54.166666666666686,0
2023-01-20,Beans,300.0,245.0,350.0,275.0,360.0,2023,1,January,20,4,Friday,3,1,0,272.5,328.3333333333333,55.833333333333314,0
2023-01-23,Beans,300.0,275.0,350.0,305.0,400.0,2023,1,January,23,0,Monday,4,1,0,287.5,351.6666666666667,64.16666666666669,0
2023-01-24,Beans,300.0,300.0,350.0,330.0,600.0,2023,1,January,24,1,Tuesday,4,1,0,300.0,426.6666666666667,126.66666666666669,0
2023-01-25,Beans,300.0,300.0,350.0,325.0,560.0,2023,1,January,25,2,Wednesday,4,1,0,300.0,411.6666666666667,111.66666666666669,0
2023-01-26,Beans,300.0,355.0,350.0,385.0,520.0,2023,1,January,26,3,Thursday,4,1,0,327.5,418.3333333333333,90.83333333333331,0
2023-01-27,Beans,350.0,425.0,400.0,455.0,520.0,2023,1,January,27,4,Friday,4,1,0,387.5,458.3333333333333,70.83333333333331,0
2023-01-30,Beans,300.0,325.0,350.0,355.0,520.0,2023,1,January,30,0,Monday,5,1,0,312.5,408.3333333333333,95.83333333333331,0
2023-01-31,Beans,300.0,325.0,350.0,355.0,480.0,2023,1,January,31,1,Tuesday,5,1,0,312.5,395.0,82.5,0
2023-02-01,Beans,300.0,375.0,350.0,405.0,400.0,2023,2,February,1,2,Wednesday,5,1,0,337.5,385.0,47.5,0
2023-02-01,Beans,300.0,375.0,350.0,405.0,400.0,2023,2,February,1,2,Wednesday,5,1,0,337.5,385.0,47.5,0
2023-02-02,Beans,350.0,325.0,400.0,355.0,480.0,2023,2,February,2,3,Thursday,5,1,0,337.5,411.6666666666667,74.16666666666669,0
2023-02-03,Beans,400.0,350.0,450.0,380.0,520.0,2023,2,February,3,4,Friday,5,1,0,375.0,450.0,75.0,0
2023-02-06,Beans,400.0,305.0,450.0,335.0,520.0,2023,2,February,6,0,Monday,6,1,0,352.5,435.0,82.5,0
2023-02-07,Beans,400.0,290.0,450.0,320.0,500.0,2023,2,February,7,1,Tuesday,6,1,0,345.0,423.3333333333333,78.33333333333331,0
2023-02-08,Beans,400.0,325.0,450.0,355.0,480.0,2023,2,February,8,2,Wednesday,6,1,0,362.5,428.3333333333333,65.83333333333331,0
2023-02-09,Beans,450.0,400.0,500.0,430.0,480.0,2023,2,February,9,3,Thursday,6,1,0,425.0,470.0,45.0,0
2023-02-10,Beans,450.0,400.0,500.0,430.0,400.0,2023,2,February,10,4,Friday,6,1,0,425.0,443.3333333333333,18.333333333333314,0
2023-02-13,Beans,350.0,415.0,400.0,445.0,480.0,2023,2,February,13,0,Monday,7,1,0,382.5,441.6666666666667,59.166666666666686,0
2023-02-14,Beans,350.0,325.0,400.0,355.0,480.0,2023,2,February,14,1,Tuesday,7,1,0,337.5,411.6666666666667,74.16666666666669,0
2023-02-15,Beans,300.0,375.0,350.0,405.0,440.0,2023,2,February,15,2,Wednesday,7,1,0,337.5,398.3333333333333,60.833333333333314,0
2023-02-16,Beans,450.0,390.0,500.0,420.0,480.0,2023,2,February,16,3,Thursday,7,1,0,420.0,466.6666666666667,46.666666666666686,0
2023-02-17,Beans,350.0,375.0,400.0,405.0,480.0,2023,2,February,17,4,Friday,7,1,0,362.5,428.3333333333333,65.83333333333331,0
2023-02-20,Beans,320.0,275.0,380.0,305.0,480.0,2023,2,February,20,0,Monday,8,1,0,297.5,388.3333333333333,90.83333333333331,0
